MAC;SSID;RSSI;CurrentLatitude;CurrentLongitude;AltitudeMeters;AccuracyMeters;Type
4c:71:0d:0d:95:ed;Visiteurs Kepler;-74;48.94207223593402;2.3058447241608246;134;157.5;WIFI
4c:71:0d:0d:95:ec;WIFI Kepler2;-74;48.94207223593402;2.3058447241608246;134;157.5;WIFI
10:b3:d5:c2:af:c2;Visiteurs Kepler;-65;48.94207223593402;2.3058447241608246;134;157.5;WIFI
10:b3:d5:c2:af:c3;WIFI Kepler2;-64;48.94207223593402;2.3058447241608246;134;157.5;WIFI
bc:30:7e:bc:83:32;;-79;48.94207223593402;2.3058447241608246;134;157.5;WIFI
10:b3:d5:b6:e8:4d;Visiteurs Kepler;-65;48.94207223593402;2.3058447241608246;134;157.5;WIFI
10:b3:d5:b6:e8:4c;WIFI Kepler2;-65;48.94207223593402;2.3058447241608246;134;157.5;WIFI
36:23:87:cc:e3:92;DIRECT-QX-BRAVIA;-56;48.94207223593402;2.3058447241608246;134;157.5;WIFI
4c:71:0d:0e:da:2d;Visiteurs Kepler;-86;48.94207223593402;2.3058447241608246;134;157.5;WIFI
4c:71:0d:0e:da:2c;WIFI Kepler2;-90;48.94207223593402;2.3058447241608246;134;157.5;WIFI
10:b3:d5:c2:b0:8c;WIFI Kepler2;-83;48.94207223593402;2.3058447241608246;134;157.5;WIFI
4c:71:0d:0e:da:22;Visiteurs Kepler;-81;48.94207223593402;2.3058447241608246;134;157.5;WIFI
10:b3:d5:c2:b0:8d;Visiteurs Kepler;-83;48.94207223593402;2.3058447241608246;134;157.5;WIFI
4c:71:0d:0e:da:23;WIFI Kepler2;-83;48.94207223593402;2.3058447241608246;134;157.5;WIFI
10:b3:d5:dc:ed:22;Visiteurs Kepler;-71;48.94207223593402;2.3058447241608246;134;157.5;WIFI
10:b3:d5:b6:e8:42;Visiteurs Kepler;-64;48.94207223593402;2.3058447241608246;134;157.5;WIFI
10:b3:d5:c2:af:cd;Visiteurs Kepler;-62;48.94207223593402;2.3058447241608246;134;157.5;WIFI
10:b3:d5:c2:af:cc;WIFI Kepler2;-62;48.94207223593402;2.3058447241608246;134;157.5;WIFI
10:b3:d5:c2:b0:82;Visiteurs Kepler;-72;48.94207223593402;2.3058447241608246;134;157.5;WIFI
10:b3:d5:c2:b0:83;WIFI Kepler2;-72;48.94207223593402;2.3058447241608246;134;157.5;WIFI
10:b3:d5:dc:ed:2c;WIFI Kepler2;-73;48.94207223593402;2.3058447241608246;134;157.5;WIFI
10:b3:d5:dc:ed:2d;Visiteurs Kepler;-73;48.94207223593402;2.3058447241608246;134;157.5;WIFI
4c:71:0d:0d:95:e3;WIFI Kepler2;-74;48.94207223593402;2.3058447241608246;134;157.5;WIFI
4c:71:0d:0d:95:e2;Visiteurs Kepler;-73;48.94207223593402;2.3058447241608246;134;157.5;WIFI
4c:71:0d:0f:a5:a2;Visiteurs Kepler;-87;48.94211273102555;2.305812507942364;54;48;WIFI
10:b3:d5:c2:af:c2;Visiteurs Kepler;-60;48.94211273102555;2.305812507942364;54;48;WIFI
10:b3:d5:b6:e8:43;WIFI Kepler2;-65;48.94211273102555;2.305812507942364;54;48;WIFI
4c:71:0d:0f:a5:a3;WIFI Kepler2;-87;48.94194954777149;2.30581524545128;132;48.5;WIFI
10:b3:d5:c2:af:c3;WIFI Kepler2;-59;48.94194954777149;2.30581524545128;132;48.5;WIFI
10:b3:d5:dc:ed:23;WIFI Kepler2;-70;48.94194954777149;2.30581524545128;132;48.5;WIFI
4c:71:0d:0d:95:e3;WIFI Kepler2;-68;48.94194954777149;2.30581524545128;132;48.5;WIFI
4c:71:0d:0d:95:e2;Visiteurs Kepler;-66;48.94194954777149;2.30581524545128;132;48.5;WIFI
78:8c:b5:b8:11:fb;Router-HGH;-76;48.97733063419434;2.2691800960838244;219;31.5;WIFI
f4:05:95:1a:2c:30;;-59;48.97733063419434;2.2691800960838244;219;31.5;WIFI
f4:05:95:1a:2c:34;Bbox-HARIAN;-57;48.97733063419434;2.2691800960838244;219;31.5;WIFI
cc:2d:1b:65:96:0e;SFR_9608;-80;48.97733063419434;2.2691800960838244;219;31.5;WIFI
f0:4d:d4:1e:e5:59;Bbox-9377257C;-81;48.97733063419434;2.2691800960838244;219;31.5;WIFI
8a:4d:d4:1e:e5:5a;;-81;48.97733063419434;2.2691800960838244;219;31.5;WIFI
cc:2d:1b:65:96:0e;SFR_9608;-71;48.97733063419434;2.2691800960838244;219;31.5;WIFI
78:8c:b5:b8:11:fb;Router-HGH;-78;48.978813848268146;2.2786798943907858;3289;34;WIFI
f4:05:95:1a:2c:34;Bbox-HARIAN;-56;48.978813848268146;2.2786798943907858;3289;34;WIFI
cc:2d:1b:65:96:0e;SFR_9608;-64;48.978813848268146;2.2786798943907858;3289;34;WIFI
f0:4d:d4:1e:e5:59;Bbox-9377257C;-83;48.978813848268146;2.2786798943907858;3289;34;WIFI
